SystemComponentId,SystemSerdesId,LineComponentId,LineSerdesId,TraceLoss,ConnectionType,PolaritySwap
0,0,1,0,0,rx,No
0,0,1,0,0,tx,No
0,1,1,1,0,rx,No
0,1,1,1,0,tx,No
0,2,1,2,0,rx,No
0,2,1,2,0,tx,No
0,3,1,3,0,rx,No
0,3,1,3,0,tx,No
0,4,1,4,0,rx,No
0,4,1,4,0,tx,No
0,5,1,5,0,rx,No
0,5,1,5,0,tx,No
0,6,1,6,0,rx,No
0,6,1,6,0,tx,No
0,7,1,7,0,rx,No
0,7,1,7,0,tx,No
1,0,2,0,0,rx,No
1,0,2,0,0,tx,No
1,1,2,1,0,rx,No
1,1,2,1,0,tx,No
1,2,2,2,0,rx,No
1,2,2,2,0,tx,No
1,3,2,3,0,rx,No
1,3,2,3,0,tx,No
1,4,2,4,0,rx,No
1,4,2,4,0,tx,No
1,5,2,5,0,rx,No
1,5,2,5,0,tx,No
1,6,2,6,0,rx,No
1,6,2,6,0,tx,No
1,7,2,7,0,rx,No
1,7,2,7,0,tx,No
2,0,3,0,0,rx,No
2,0,3,0,0,tx,No
2,1,3,1,0,rx,No
2,1,3,1,0,tx,No
2,2,3,2,0,rx,No
2,2,3,2,0,tx,No
2,3,3,3,0,rx,No
2,3,3,3,0,tx,No
2,4,3,4,0,rx,No
2,4,3,4,0,tx,No
2,5,3,5,0,rx,No
2,5,3,5,0,tx,No
2,6,3,6,0,rx,No
2,6,3,6,0,tx,No
2,7,3,7,0,rx,No
2,7,3,7,0,tx,No
3,0,4,0,0,rx,No
3,0,4,0,0,tx,No
3,1,4,1,0,rx,No
3,1,4,1,0,tx,No
3,2,4,2,0,rx,No
3,2,4,2,0,tx,No
3,3,4,3,0,rx,No
3,3,4,3,0,tx,No
3,4,4,4,0,rx,No
3,4,4,4,0,tx,No
3,5,4,5,0,rx,No
3,5,4,5,0,tx,No
3,6,4,6,0,rx,No
3,6,4,6,0,tx,No
3,7,4,7,0,rx,No
3,7,4,7,0,tx,No
4,0,5,0,0,rx,No
4,0,5,0,0,tx,No
4,1,5,1,0,rx,No
4,1,5,1,0,tx,No
4,2,5,2,0,rx,No
4,2,5,2,0,tx,No
4,3,5,3,0,rx,No
4,3,5,3,0,tx,No
4,4,5,4,0,rx,No
4,4,5,4,0,tx,No
4,5,5,5,0,rx,No
4,5,5,5,0,tx,No
4,6,5,6,0,rx,No
4,6,5,6,0,tx,No
4,7,5,7,0,rx,No
4,7,5,7,0,tx,No
5,0,6,0,0,rx,No
5,0,6,0,0,tx,No
5,1,6,1,0,rx,No
5,1,6,1,0,tx,No
5,2,6,2,0,rx,No
5,2,6,2,0,tx,No
5,3,6,3,0,rx,No
5,3,6,3,0,tx,No
5,4,6,4,0,rx,No
5,4,6,4,0,tx,No
5,5,6,5,0,rx,No
5,5,6,5,0,tx,No
5,6,6,6,0,rx,No
5,6,6,6,0,tx,No
5,7,6,7,0,rx,No
5,7,6,7,0,tx,No
6,0,7,0,0,rx,No
6,0,7,0,0,tx,No
6,1,7,1,0,rx,No
6,1,7,1,0,tx,No
6,2,7,2,0,rx,No
6,2,7,2,0,tx,No
6,3,7,3,0,rx,No
6,3,7,3,0,tx,No
6,4,7,4,0,rx,No
6,4,7,4,0,tx,No
6,5,7,5,0,rx,No
6,5,7,5,0,tx,No
6,6,7,6,0,rx,No
6,6,7,6,0,tx,No
6,7,7,7,0,rx,No
6,7,7,7,0,tx,No
7,0,8,0,0,rx,No
7,0,8,0,0,tx,No
7,1,8,1,0,rx,No
7,1,8,1,0,tx,No
7,2,8,2,0,rx,No
7,2,8,2,0,tx,No
7,3,8,3,0,rx,No
7,3,8,3,0,tx,No
7,4,8,4,0,rx,No
7,4,8,4,0,tx,No
7,5,8,5,0,rx,No
7,5,8,5,0,tx,No
7,6,8,6,0,rx,No
7,6,8,6,0,tx,No
7,7,8,7,0,rx,No
7,7,8,7,0,tx,No
8,0,9,0,0,rx,No
8,0,9,0,0,tx,No
8,1,9,1,0,rx,No
8,1,9,1,0,tx,No
8,2,9,2,0,rx,No
8,2,9,2,0,tx,No
8,3,9,3,0,rx,No
8,3,9,3,0,tx,No
8,4,9,4,0,rx,No
8,4,9,4,0,tx,No
8,5,9,5,0,rx,No
8,5,9,5,0,tx,No
8,6,9,6,0,rx,No
8,6,9,6,0,tx,No
8,7,9,7,0,rx,No
8,7,9,7,0,tx,No
9,0,10,0,0,rx,No
9,0,10,0,0,tx,No
9,1,10,1,0,rx,No
9,1,10,1,0,tx,No
9,2,10,2,0,rx,No
9,2,10,2,0,tx,No
9,3,10,3,0,rx,No
9,3,10,3,0,tx,No
9,4,10,4,0,rx,No
9,4,10,4,0,tx,No
9,5,10,5,0,rx,No
9,5,10,5,0,tx,No
9,6,10,6,0,rx,No
9,6,10,6,0,tx,No
9,7,10,7,0,rx,No
9,7,10,7,0,tx,No
10,0,11,0,0,rx,No
10,0,11,0,0,tx,No
10,1,11,1,0,rx,No
10,1,11,1,0,tx,No
10,2,11,2,0,rx,No
10,2,11,2,0,tx,No
10,3,11,3,0,rx,No
10,3,11,3,0,tx,No
10,4,11,4,0,rx,No
10,4,11,4,0,tx,No
10,5,11,5,0,rx,No
10,5,11,5,0,tx,No
10,6,11,6,0,rx,No
10,6,11,6,0,tx,No
10,7,11,7,0,rx,No
10,7,11,7,0,tx,No
11,0,12,0,0,rx,No
11,0,12,0,0,tx,No
11,1,12,1,0,rx,No
11,1,12,1,0,tx,No
11,2,12,2,0,rx,No
11,2,12,2,0,tx,No
11,3,12,3,0,rx,No
11,3,12,3,0,tx,No
11,4,12,4,0,rx,No
11,4,12,4,0,tx,No
11,5,12,5,0,rx,No
11,5,12,5,0,tx,No
11,6,12,6,0,rx,No
11,6,12,6,0,tx,No
11,7,12,7,0,rx,No
11,7,12,7,0,tx,No
12,0,13,0,0,rx,No
12,0,13,0,0,tx,No
12,1,13,1,0,rx,No
12,1,13,1,0,tx,No
12,2,13,2,0,rx,No
12,2,13,2,0,tx,No
12,3,13,3,0,rx,No
12,3,13,3,0,tx,No
12,4,13,4,0,rx,No
12,4,13,4,0,tx,No
12,5,13,5,0,rx,No
12,5,13,5,0,tx,No
12,6,13,6,0,rx,No
12,6,13,6,0,tx,No
12,7,13,7,0,rx,No
12,7,13,7,0,tx,No
13,0,14,0,0,rx,No
13,0,14,0,0,tx,No
13,1,14,1,0,rx,No
13,1,14,1,0,tx,No
13,2,14,2,0,rx,No
13,2,14,2,0,tx,No
13,3,14,3,0,rx,No
13,3,14,3,0,tx,No
13,4,14,4,0,rx,No
13,4,14,4,0,tx,No
13,5,14,5,0,rx,No
13,5,14,5,0,tx,No
13,6,14,6,0,rx,No
13,6,14,6,0,tx,No
13,7,14,7,0,rx,No
13,7,14,7,0,tx,No
14,0,15,0,0,rx,No
14,0,15,0,0,tx,No
14,1,15,1,0,rx,No
14,1,15,1,0,tx,No
14,2,15,2,0,rx,No
14,2,15,2,0,tx,No
14,3,15,3,0,rx,No
14,3,15,3,0,tx,No
14,4,15,4,0,rx,No
14,4,15,4,0,tx,No
14,5,15,5,0,rx,No
14,5,15,5,0,tx,No
14,6,15,6,0,rx,No
14,6,15,6,0,tx,No
14,7,15,7,0,rx,No
14,7,15,7,0,tx,No
15,0,16,0,0,rx,No
15,0,16,0,0,tx,No
15,1,16,1,0,rx,No
15,1,16,1,0,tx,No
15,2,16,2,0,rx,No
15,2,16,2,0,tx,No
15,3,16,3,0,rx,No
15,3,16,3,0,tx,No
15,4,16,4,0,rx,No
15,4,16,4,0,tx,No
15,5,16,5,0,rx,No
15,5,16,5,0,tx,No
15,6,16,6,0,rx,No
15,6,16,6,0,tx,No
15,7,16,7,0,rx,No
15,7,16,7,0,tx,No
