Port_Speed(mbps),A_CHIP_TYPE,Z_CHIP_TYPE,NUM_LANES,Modulation,A_FEC,Z_FEC,MEDIA_TYPE,A_Interface_Type,Z_Interface_Type
100000,NPU,TRANSCEIVER,4,NRZ,RS528,,BACKPLANE,SR4,
100000,NPU,TRANSCEIVER,4,NRZ,RS528,,COPPER,CR4,
100000,NPU,TRANSCEIVER,1,PAM4,RS544_2N,,BACKPLANE,KR4,
200000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,,BACKPLANE,KR4,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,,BACKPLANE,KR4,
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,,BACKPLANE,KR8,
10000,NPU,TRANSCEIVER,1,NRZ,NONE,,COPPER,CR,
50000,NPU,TRANSCEIVER,2,NRZ,RS528,,BACKPLANE,KR2,
200000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,,COPPER,CR4,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,,COPPER,CR4,
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,,COPPER,CR8,
